<DATE>;<TIME>;<CLOSE>
20230109;7:45;18.8800000
20230109;8:00;18.8000000
20230109;8:30;18.7500000
20230109;9:00;18.2775000
20230109;9:15;18.2775000
20230109;10:00;18.2775000
20230109;10:15;18.5700000
20230109;10:30;18.5275000
20230109;10:45;18.2000000
20230109;11:00;18.4700000
20230109;11:15;18.1800000
20230109;11:30;18.1800000
20230109;11:45;18.4900000
20230109;12:00;18.4900000
20230109;12:15;18.3500000
20230109;12:30;18.1500000
20230109;12:45;18.1700000
20230109;13:00;18.0050000
20230109;13:15;18.1700000
20230109;13:30;17.9300000
20230109;13:45;17.8200000
20230109;14:15;17.9300000
20230109;14:30;17.9300000
20230109;14:45;17.9450000
20230109;15:00;17.9450000
20230109;15:15;17.9450000
20230109;15:30;17.9450000
20230109;15:45;17.9450000
20230109;16:00;17.9300000
20230109;16:15;17.8425000
20230109;16:45;17.9500000
20230109;17:00;17.9100000
20230109;17:15;18.1400000
20230109;17:45;18.0000000
20230109;18:00;18.1000000
20230109;18:30;18.0850000
20230109;18:45;18.0850000
20230109;19:00;17.9025000
20230110;7:15;18.4900000
20230110;7:30;17.9025000
20230110;9:00;18.2900000
20230110;9:30;17.9025000
20230110;9:45;18.0900000
20230110;10:00;17.9025000
20230110;10:15;17.5025000
20230110;10:30;17.1000000
20230110;10:45;17.1000000
20230110;11:00;17.0000000
20230110;11:15;16.9025000
20230110;11:30;16.8500000
20230110;11:45;17.1525000
20230110;12:00;16.9975000
20230110;12:15;16.7000000
20230110;12:30;17.1600000
20230110;12:45;17.2000000
20230110;13:00;17.5825000
20230110;13:15;16.8125000
20230110;13:30;17.0025000
20230110;13:45;17.0000000
20230110;14:00;17.0000000
20230110;14:15;16.9975000
20230110;14:30;17.1975000
20230110;14:45;17.1000000
20230110;15:00;17.1000000
20230110;15:15;17.1000000
20230110;15:30;17.1000000
20230110;15:45;17.1000000
20230110;16:00;17.1000000
20230110;16:15;17.1000000
20230110;16:30;17.1000000
20230110;16:45;17.1000000
20230110;17:00;17.1000000
20230110;17:15;17.1975000
20230110;17:30;17.1975000
