<DATE>;<TIME>;<CLOSE>
20230109;7:15;26.5400000
20230109;7:30;26.5400000
20230109;8:00;26.5350000
20230109;8:15;26.3900000
20230109;8:30;26.5400000
20230109;8:45;26.5400000
20230109;9:00;26.3875000
20230109;9:15;26.4525000
20230109;9:30;26.3400000
20230109;9:45;26.3750000
20230109;10:00;26.3000000
20230109;10:15;26.3175000
20230109;10:30;26.2825000
20230109;10:45;26.2625000
20230109;11:00;26.3025000
20230109;11:15;26.3375000
20230109;11:30;26.3000000
20230109;11:45;26.3050000
20230109;12:00;26.2350000
20230109;12:15;26.2700000
20230109;12:30;26.1550000
20230109;12:45;26.0625000
20230109;13:00;26.0500000
20230109;13:15;26.1450000
20230109;13:30;26.1450000
20230109;13:45;26.1800000
20230109;14:00;26.1925000
20230109;14:15;26.1900000
20230109;14:30;26.1900000
20230109;14:45;26.1800000
20230109;15:00;26.1500000
20230109;15:15;26.1475000
20230109;15:30;26.1225000
20230109;15:45;26.1550000
20230109;16:00;26.1200000
20230109;16:15;26.1400000
20230109;16:30;26.1275000
20230109;16:45;26.0850000
20230109;17:00;26.0875000
20230109;17:15;26.0825000
20230109;17:30;26.0900000
20230109;17:45;26.0900000
20230109;18:00;26.0800000
20230109;18:15;26.0700000
20230109;18:30;26.0725000
20230109;18:45;26.0525000
20230109;19:00;26.0450000
20230110;8:00;26.1800000
20230110;8:30;26.1675000
20230110;8:45;26.1675000
20230110;9:00;26.1425000
20230110;9:15;26.0375000
20230110;9:30;26.0375000
20230110;9:45;26.0650000
20230110;10:00;26.0000000
20230110;10:15;26.0250000
20230110;10:30;26.0250000
20230110;10:45;26.0250000
20230110;11:00;26.0600000
20230110;11:15;26.0500000
20230110;11:30;26.0500000
20230110;11:45;26.0500000
20230110;12:00;25.9600000
20230110;12:15;25.9875000
20230110;12:30;25.9900000
20230110;12:45;25.9925000
20230110;13:00;25.9925000
20230110;13:15;25.9775000
20230110;13:30;25.9700000
20230110;13:45;25.9700000
20230110;14:00;25.9900000
20230110;14:15;25.9925000
20230110;14:30;25.9800000
20230110;14:45;25.9725000
20230110;15:00;25.9725000
20230110;15:15;25.9400000
20230110;15:30;25.9775000
20230110;15:45;25.9775000
20230110;16:00;25.9750000
20230110;16:15;25.9750000
20230110;16:30;25.9800000
20230110;16:45;26.0500000
20230110;17:00;26.0525000
20230110;17:15;26.0800000
20230110;17:30;26.0900000
20230110;17:45;26.1000000
20230110;18:00;26.0825000
20230110;18:15;26.1000000
20230110;18:30;26.1175000
20230110;18:45;26.1100000
20230110;19:00;26.0875000
20230111;7:15;26.0875000
20230111;7:30;26.2175000
20230111;7:45;26.2600000
20230111;8:00;26.2175000
20230111;8:30;26.0825000
20230111;8:45;26.1875000
20230111;9:00;26.1475000
20230111;9:15;26.1175000
20230111;9:30;26.0550000
20230111;9:45;26.1175000
20230111;10:00;26.1175000
20230111;10:15;26.0975000
20230111;10:30;26.0550000
20230111;10:45;26.0225000
20230111;11:00;25.9925000
20230111;11:15;25.9975000
20230111;11:30;25.9975000
20230111;11:45;25.9950000
20230111;12:00;25.9700000
20230111;12:15;25.9575000
20230111;12:30;25.9300000
20230111;12:45;25.9675000
20230111;13:00;25.9425000
20230111;13:15;25.9525000
20230111;13:30;25.9000000
20230111;13:45;25.9300000
20230111;14:00;25.9575000
20230111;14:15;25.9550000
20230111;14:30;25.9450000
20230111;14:45;25.9475000
20230111;15:00;25.9325000
20230111;15:15;25.9275000
20230111;15:30;25.9225000
20230111;15:45;25.9225000
20230111;16:00;25.9200000
20230111;16:15;25.9225000
20230111;16:30;25.9225000
20230111;16:45;25.9225000
20230111;17:00;25.9225000
20230111;17:15;25.9300000
20230111;17:30;25.9825000
20230111;17:45;25.9875000
20230111;18:00;25.9875000
20230111;18:15;25.9925000
20230111;18:30;25.9925000
20230111;18:45;25.9950000
20230111;19:00;25.9950000
20230112;7:15;25.9200000
20230112;7:30;25.9925000
20230112;7:45;26.0700000
20230112;8:00;26.0225000
20230112;8:15;26.0700000
20230112;8:30;26.0700000
20230112;8:45;26.0575000
20230112;9:00;25.9500000
20230112;9:15;25.9625000
20230112;9:30;25.9475000
20230112;9:45;25.9225000
20230112;10:00;25.9175000
20230112;10:15;25.9100000
20230112;10:30;25.8000000
20230112;10:45;25.8450000
20230112;11:00;25.8500000
20230112;11:15;25.8475000
20230112;11:30;25.8475000
20230112;11:45;25.8500000
20230112;12:00;25.8950000
20230112;12:15;25.8900000
20230112;12:30;25.8975000
20230112;12:45;25.9150000
20230112;13:00;25.8600000
20230112;13:15;25.9600000
20230112;13:30;25.9675000
20230112;13:45;25.9775000
20230112;14:00;25.9775000
20230112;14:15;25.9775000
20230112;14:30;25.9950000
20230112;14:45;25.9975000
20230112;15:00;25.9975000
20230112;15:15;25.9900000
20230112;15:30;25.9925000
20230112;15:45;25.9925000
20230112;16:00;25.9875000
20230112;16:15;25.9875000
20230112;16:30;25.9875000
20230112;16:45;25.9825000
20230112;17:00;25.9625000
20230112;17:15;25.9800000
20230112;17:30;25.9800000
20230112;17:45;25.9850000
20230112;18:00;25.9850000
20230112;18:15;25.9850000
20230112;18:30;26.0075000
