<DATE>;<TIME>;<CLOSE>
20230109;7:15;10.4890000
20230109;7:30;10.5150000
20230109;7:45;10.5410000
20230109;8:00;10.5430000
20230109;8:15;10.5430000
20230109;8:30;10.5420000
20230109;8:45;10.5380000
20230109;9:00;10.5250000
20230109;9:15;10.5040000
20230109;9:30;10.4540000
20230109;9:45;10.4580000
20230109;10:00;10.4390000
20230109;10:15;10.4030000
20230109;10:30;10.4240000
20230109;10:45;10.4250000
20230109;11:00;10.4300000
20230109;11:15;10.4140000
20230109;11:30;10.4240000
20230109;11:45;10.4220000
20230109;12:00;10.3760000
20230109;12:15;10.3340000
20230109;12:30;10.2440000
20230109;12:45;10.1740000
20230109;13:00;10.2260000
20230109;13:15;10.2000000
20230109;13:30;10.2180000
20230109;13:45;10.2710000
20230109;14:00;10.2760000
20230109;14:15;10.2980000
20230109;14:30;10.2690000
20230109;14:45;10.2690000
20230109;15:00;10.2590000
20230109;15:15;10.2590000
20230109;15:30;10.2480000
20230109;15:45;10.2320000
20230109;16:00;10.2260000
20230109;16:15;10.2190000
20230109;16:30;10.2180000
20230109;16:45;10.2040000
20230109;17:00;10.2200000
20230109;17:15;10.2590000
20230109;17:30;10.2390000
20230109;17:45;10.2140000
20230109;18:00;10.1960000
20230109;18:15;10.1710000
20230109;18:30;10.1760000
20230109;18:45;10.2000000
20230109;19:00;10.2190000
20230110;7:15;10.2550000
20230110;7:30;10.2370000
20230110;7:45;10.2380000
20230110;8:00;10.2320000
20230110;8:15;10.2440000
20230110;8:30;10.2400000
20230110;8:45;10.2360000
20230110;9:00;10.2460000
20230110;9:15;10.2260000
20230110;9:30;10.2220000
20230110;9:45;10.1990000
20230110;10:00;10.1680000
20230110;10:15;10.2040000
20230110;10:30;10.2520000
20230110;10:45;10.2490000
20230110;11:00;10.2270000
20230110;11:15;10.2240000
20230110;11:30;10.2370000
20230110;11:45;10.2270000
20230110;12:00;10.2130000
20230110;12:15;10.2170000
20230110;12:30;10.2250000
20230110;12:45;10.2180000
20230110;13:00;10.2090000
20230110;13:15;10.2130000
20230110;13:30;10.2090000
20230110;13:45;10.2210000
20230110;14:00;10.2270000
20230110;14:15;10.2230000
20230110;14:30;10.2300000
20230110;14:45;10.2280000
20230110;15:00;10.2240000
20230110;15:15;10.2190000
20230110;15:30;10.2060000
20230110;15:45;10.2060000
20230110;16:00;10.2220000
20230110;16:15;10.2200000
20230110;16:30;10.2280000
20230110;16:45;10.2270000
20230110;17:00;10.2480000
20230110;17:15;10.2700000
20230110;17:30;10.2680000
20230110;17:45;10.2800000
20230110;18:00;10.2650000
20230110;18:15;10.2730000
20230110;18:30;10.2580000
20230110;18:45;10.2770000
20230110;19:00;10.2790000
20230111;7:15;10.3360000
20230111;7:30;10.3250000
20230111;7:45;10.3250000
20230111;8:00;10.3270000
20230111;8:15;10.3170000
20230111;8:30;10.3200000
20230111;8:45;10.3180000
20230111;9:00;10.2800000
20230111;9:15;10.2650000
20230111;9:30;10.2640000
20230111;9:45;10.2710000
20230111;10:00;10.2450000
20230111;10:15;10.2820000
20230111;10:30;10.2530000
20230111;10:45;10.2410000
20230111;11:00;10.2460000
20230111;11:15;10.2520000
20230111;11:30;10.2420000
20230111;11:45;10.2410000
20230111;12:00;10.2420000
20230111;12:15;10.2090000
20230111;12:30;10.0650000
20230111;12:45;10.1340000
20230111;13:00;10.1710000
20230111;13:15;10.1590000
20230111;13:30;10.1510000
20230111;13:45;10.1300000
20230111;14:00;10.1250000
20230111;14:15;10.0990000
20230111;14:30;10.0890000
20230111;14:45;10.0710000
20230111;15:00;10.0780000
20230111;15:15;10.0840000
20230111;15:30;10.0870000
20230111;15:45;10.0940000
20230111;16:00;10.0870000
20230111;16:15;10.0630000
20230111;16:30;10.0690000
20230111;16:45;10.0720000
20230111;17:00;10.0900000
20230111;17:15;10.0750000
20230111;17:30;10.0700000
20230111;17:45;10.0740000
20230111;18:00;10.0750000
20230111;18:15;10.0750000
20230111;18:30;10.0750000
20230111;18:45;10.0700000
20230111;19:00;10.0740000
20230112;7:15;10.0800000
20230112;7:30;10.0290000
20230112;7:45;10.0180000
20230112;8:00;10.0260000
20230112;8:15;10.0750000
20230112;8:30;10.0460000
20230112;8:45;10.0320000
20230112;9:00;10.0450000
20230112;9:15;10.0310000
20230112;9:30;10.0300000
20230112;9:45;10.0310000
20230112;10:00;10.0370000
20230112;10:15;10.0430000
20230112;10:30;9.9980000
20230112;10:45;9.9830000
20230112;11:00;10.0020000
20230112;11:15;9.9900000
20230112;11:30;9.9850000
20230112;11:45;9.9880000
20230112;12:00;9.9920000
20230112;12:15;10.0020000
20230112;12:30;10.0200000
20230112;12:45;10.0120000
20230112;13:00;10.0090000
20230112;13:15;10.0090000
20230112;13:30;10.0070000
20230112;13:45;10.0070000
20230112;14:00;10.0040000
20230112;14:15;9.9940000
20230112;14:30;10.0100000
20230112;14:45;9.9940000
20230112;15:00;9.9940000
20230112;15:15;9.9940000
20230112;15:30;9.9900000
20230112;15:45;9.9970000
20230112;16:00;9.9920000
20230112;16:15;9.9890000
20230112;16:30;9.9930000
20230112;16:45;10.0010000
20230112;17:00;9.9980000
20230112;17:15;10.0090000
20230112;17:30;10.0030000
20230112;17:45;10.0110000
20230112;18:00;10.0060000
20230112;18:15;10.0150000
20230112;18:30;10.0070000
20230112;18:45;10.0240000
20230112;19:00;10.0210000
20230113;7:15;10.0140000
20230113;7:30;10.0150000
20230113;7:45;10.0150000
20230113;8:00;10.0160000
20230113;8:15;10.0170000
20230113;8:30;10.0210000
20230113;8:45;10.0180000
20230113;9:00;10.0180000
20230113;9:15;10.0140000
20230113;9:30;10.0290000
20230113;9:45;10.0160000
20230113;10:00;9.9960000
20230113;10:15;10.0190000
20230113;10:30;10.0140000
20230113;10:45;10.0020000
20230113;11:00;10.0090000
20230113;11:15;10.0100000
20230113;11:30;9.9920000
20230113;11:45;10.0080000
