<DATE>;<TIME>;<CLOSE>
20230109;7:15;76.2925000
20230109;7:30;76.5000000
20230109;7:45;76.7000000
20230109;8:00;76.7000000
20230109;8:15;76.7225000
20230109;8:30;76.7900000
20230109;8:45;76.4450000
20230109;9:00;76.5000000
20230109;9:15;76.3450000
20230109;9:30;76.2000000
20230109;9:45;76.0875000
20230109;10:00;76.0600000
20230109;10:15;75.5775000
20230109;10:30;75.3525000
20230109;10:45;75.3600000
20230109;11:00;75.5700000
20230109;11:15;75.5625000
20230109;11:30;75.6800000
20230109;11:45;75.7825000
20230109;12:00;75.7125000
20230109;12:15;75.7325000
20230109;12:30;75.2600000
20230109;12:45;74.7875000
20230109;13:00;74.7700000
20230109;13:15;74.4775000
20230109;13:30;74.5950000
20230109;13:45;74.7875000
20230109;14:00;74.7950000
20230109;14:15;75.0125000
20230109;14:30;74.7300000
20230109;14:45;74.6500000
20230109;15:00;74.3050000
20230109;15:15;74.3575000
20230109;15:30;74.2175000
20230109;15:45;74.1925000
20230109;16:00;74.1725000
20230109;16:15;74.0900000
20230109;16:30;74.2825000
20230109;16:45;74.0900000
20230109;17:00;74.4425000
20230109;17:15;74.3950000
20230109;17:30;74.5000000
20230109;17:45;74.2475000
20230109;18:00;74.2725000
20230109;18:15;74.2400000
20230109;18:30;74.1925000
20230109;18:45;74.3450000
20230109;19:00;74.4425000
20230110;7:15;74.8975000
20230110;7:30;74.7725000
20230110;7:45;74.6975000
20230110;8:00;74.7325000
20230110;8:15;74.7075000
20230110;8:30;74.8500000
20230110;8:45;74.8550000
20230110;9:00;74.8500000
20230110;9:15;74.5850000
20230110;9:30;74.5950000
20230110;9:45;74.4775000
20230110;10:00;74.1225000
20230110;10:15;74.4025000
20230110;10:30;74.7525000
20230110;10:45;74.7475000
20230110;11:00;74.5800000
20230110;11:15;74.5900000
20230110;11:30;74.5825000
20230110;11:45;74.5525000
20230110;12:00;74.3700000
20230110;12:15;74.4900000
20230110;12:30;74.5500000
20230110;12:45;74.5125000
20230110;13:00;74.4525000
20230110;13:15;74.5225000
20230110;13:30;74.4500000
20230110;13:45;74.5000000
20230110;14:00;74.5800000
20230110;14:15;74.6100000
20230110;14:30;74.6975000
20230110;14:45;74.6225000
20230110;15:00;74.5550000
20230110;15:15;74.6350000
20230110;15:30;74.3850000
20230110;15:45;74.4650000
20230110;16:00;74.6300000
20230110;16:15;74.6125000
20230110;16:30;74.6925000
20230110;16:45;74.7050000
20230110;17:00;74.7225000
20230110;17:15;75.0625000
20230110;17:30;74.9850000
20230110;17:45;75.2225000
20230110;18:00;75.0000000
20230110;18:15;75.0000000
20230110;18:30;74.9700000
20230110;18:45;74.9000000
20230110;19:00;74.9000000
20230111;7:15;75.2750000
20230111;7:45;75.1550000
20230111;8:00;75.2175000
20230111;8:15;75.0925000
20230111;8:30;75.0825000
20230111;8:45;75.1450000
20230111;9:00;75.0100000
20230111;9:15;74.9200000
20230111;9:30;74.9625000
20230111;9:45;74.9950000
20230111;10:00;74.7850000
20230111;10:15;74.9500000
20230111;10:30;74.7225000
20230111;10:45;74.6075000
20230111;11:00;74.6400000
20230111;11:15;74.6875000
20230111;11:30;74.5925000
20230111;11:45;74.6125000
20230111;12:00;74.5900000
20230111;12:15;74.4175000
20230111;12:30;73.7650000
20230111;12:45;74.1150000
20230111;13:00;74.2600000
20230111;13:15;74.1650000
20230111;13:30;74.1125000
20230111;13:45;73.9700000
20230111;14:00;73.9750000
20230111;14:15;73.8400000
20230111;14:30;73.7775000
20230111;14:45;73.8525000
20230111;15:00;73.7625000
20230111;15:15;73.7775000
20230111;15:30;73.6850000
20230111;15:45;73.7825000
20230111;16:00;73.8575000
20230111;16:15;73.8500000
20230111;16:30;73.7600000
20230111;16:45;73.8675000
20230111;17:00;73.8850000
20230111;17:15;73.9175000
20230111;17:30;73.8500000
20230111;17:45;73.7500000
20230111;18:00;73.8150000
20230111;18:15;73.8025000
20230111;18:30;73.8600000
20230111;18:45;73.9900000
20230111;19:00;74.0000000
20230112;7:15;73.8900000
20230112;7:30;73.5200000
20230112;7:45;73.5025000
20230112;8:00;73.5100000
20230112;8:15;73.8200000
20230112;8:30;73.5800000
20230112;8:45;73.6600000
20230112;9:00;73.5900000
20230112;9:15;73.5100000
20230112;9:30;73.3975000
20230112;9:45;73.3475000
20230112;10:00;73.3950000
20230112;10:15;73.2425000
20230112;10:30;72.9100000
20230112;10:45;72.7700000
20230112;11:00;72.8775000
20230112;11:15;72.8050000
20230112;11:30;72.6750000
20230112;11:45;72.5525000
20230112;12:00;72.4600000
20230112;12:15;72.8075000
20230112;12:30;72.8175000
20230112;12:45;72.8400000
20230112;13:00;72.7300000
20230112;13:15;72.7950000
20230112;13:30;72.8400000
20230112;13:45;72.7075000
20230112;14:00;72.7775000
20230112;14:15;72.7525000
20230112;14:30;72.7350000
20230112;14:45;72.6900000
20230112;15:00;72.8000000
20230112;15:15;72.7175000
20230112;15:30;72.7225000
20230112;15:45;72.8250000
20230112;16:00;72.8275000
20230112;16:15;72.8100000
20230112;16:30;73.0125000
20230112;16:45;72.8800000
20230112;17:00;73.0200000
20230112;17:15;73.0375000
20230112;17:30;73.0600000
20230112;17:45;72.9700000
20230112;18:00;72.9850000
20230112;18:15;73.1875000
20230112;18:30;73.1375000
20230112;18:45;73.2475000
20230112;19:00;73.1450000
20230113;7:15;73.3000000
20230113;7:30;73.2950000
20230113;7:45;73.2875000
20230113;8:00;73.3400000
20230113;8:15;73.4300000
20230113;8:30;73.5050000
20230113;8:45;73.4300000
20230113;9:00;73.4075000
20230113;9:15;73.3750000
20230113;9:30;73.4500000
20230113;9:45;73.3825000
20230113;10:00;73.3350000
20230113;10:15;73.2775000
20230113;10:30;73.1325000
20230113;10:45;72.8875000
20230113;11:00;72.8950000
20230113;11:15;72.9000000
20230113;11:30;72.7950000
20230113;11:45;72.8325000
20230113;12:00;72.8875000
20230113;12:15;72.9300000
20230113;12:30;73.0450000
20230113;12:45;72.9775000
20230113;13:00;73.0625000
20230113;13:15;72.9400000
20230113;13:30;72.9075000
20230113;13:45;72.8575000
20230113;14:00;73.0175000
20230113;14:15;72.9750000
20230113;14:30;73.3550000
20230113;14:45;73.3100000
20230113;15:00;73.3975000
20230113;15:15;73.2650000
20230113;15:30;73.3950000
20230113;15:45;73.6475000
20230113;16:00;73.8575000
20230113;16:15;74.2525000
20230113;16:30;74.1350000
20230113;16:45;74.0950000
20230113;17:00;74.2375000
20230113;17:15;74.1925000
20230113;17:30;74.1675000
20230113;17:45;73.9575000
20230113;18:00;74.0300000
20230113;18:15;74.1225000
20230113;18:30;74.1375000
