<DATE>;<TIME>;<CLOSE>
20230109;7:15;4214.8600000
20230109;7:30;4210.9800000
20230109;7:45;4211.0000000
20230109;8:00;4208.5000000
20230109;8:15;4205.0000000
20230109;8:30;4194.9900000
20230109;8:45;4188.9200000
20230109;9:00;4195.2800000
20230109;9:15;4189.9200000
20230109;9:30;4185.0300000
20230109;9:45;4200.0000000
20230109;10:00;4185.0000000
20230109;10:15;4170.0500000
20230109;10:30;4170.0000000
20230109;10:45;4190.0000000
20230109;11:00;4203.0100000
20230109;11:15;4197.9100000
20230109;11:30;4198.8400000
20230109;11:45;4199.9500000
20230109;12:00;4178.0000000
20230109;12:15;4167.9000000
20230109;12:30;4150.4400000
20230109;12:45;4139.9700000
20230109;13:00;4151.3800000
20230109;13:15;4150.0600000
20230109;13:30;4158.9800000
20230109;13:45;4164.9900000
20230109;14:00;4165.6300000
20230109;14:15;4170.6800000
20230109;14:30;4158.0000000
20230109;14:45;4150.5500000
20230109;15:00;4154.8000000
20230109;15:15;4154.0200000
20230109;15:30;4166.6000000
20230109;15:45;4165.2700000
20230109;16:00;4169.9900000
20230109;16:15;4161.8200000
20230109;16:30;4162.0000000
20230109;16:45;4155.2000000
20230109;17:00;4167.7900000
20230109;17:15;4170.0000000
20230109;17:30;4167.8200000
20230109;17:45;4170.0000000
20230109;18:00;4167.8200000
20230109;18:15;4176.9600000
20230109;18:30;4139.7000000
20230109;18:45;4169.9800000
20230109;19:00;4169.9900000
20230110;7:15;4174.9700000
20230110;7:30;4172.0800000
20230110;7:45;4172.1100000
20230110;8:00;4157.4600000
20230110;8:15;4160.0600000
20230110;8:30;4160.1300000
20230110;8:45;4099.9900000
20230110;9:00;4125.0000000
20230110;9:15;4115.1200000
20230110;9:30;4115.5300000
20230110;9:45;4119.9900000
20230110;10:00;4117.0000000
20230110;10:15;4120.0100000
20230110;10:30;4125.3100000
20230110;10:45;4146.0000000
20230110;11:00;4138.1600000
20230110;11:15;4147.9900000
20230110;11:30;4128.5200000
20230110;11:45;4129.9900000
20230110;12:00;4129.8900000
20230110;12:15;4135.0000000
20230110;12:30;4135.0000000
20230110;12:45;4142.6300000
20230110;13:00;4139.1100000
20230110;13:15;4140.0000000
20230110;13:30;4144.9600000
20230110;13:45;4146.9900000
20230110;14:00;4147.0000000
20230110;14:15;4149.1100000
20230110;14:30;4161.0500000
20230110;14:45;4161.3300000
20230110;15:00;4159.8300000
20230110;15:15;4152.0700000
20230110;15:30;4140.3400000
20230110;15:45;4145.4900000
20230110;16:00;4145.0000000
20230110;16:15;4153.2200000
20230110;16:30;4151.0000000
20230110;16:45;4140.0000000
20230110;17:00;4153.1300000
20230110;17:15;4161.3500000
20230110;17:30;4158.9900000
20230110;17:45;4164.9000000
20230110;18:00;4175.0000000
20230110;18:15;4174.0000000
20230110;18:30;4170.3400000
20230110;18:45;4173.9900000
20230110;19:00;4172.0000000
20230111;7:15;4171.0000000
20230111;7:30;4177.9900000
20230111;7:45;4178.6700000
20230111;8:00;4185.0000000
20230111;8:15;4184.0000000
20230111;8:30;4185.0000000
20230111;8:45;4185.0000000
20230111;9:00;4184.9400000
20230111;9:15;4175.0100000
20230111;9:30;4176.0000000
20230111;9:45;4184.9400000
20230111;10:00;4175.0000000
20230111;10:15;4183.9700000
20230111;10:30;4179.3300000
20230111;10:45;4175.0000000
20230111;11:00;4175.0200000
20230111;11:15;4180.5500000
20230111;11:30;4175.0000000
20230111;11:45;4170.0000000
20230111;12:00;4170.0000000
20230111;12:15;4165.0000000
20230111;12:30;4130.0000000
20230111;12:45;4139.0000000
20230111;13:00;4139.0200000
20230111;13:15;4125.9900000
20230111;13:30;4127.8900000
20230111;13:45;4121.2000000
20230111;14:00;4130.0000000
20230111;14:15;4120.0400000
20230111;14:30;4120.0100000
20230111;14:45;4110.0400000
20230111;15:00;4110.0000000
20230111;15:15;4112.9500000
20230111;15:30;4114.9700000
20230111;15:45;4105.0100000
20230111;16:00;4105.0000000
20230111;16:15;4105.1200000
20230111;16:30;4108.9400000
20230111;16:45;4109.8600000
20230111;17:00;4102.7300000
20230111;17:15;4101.0100000
20230111;17:30;4121.0700000
20230111;17:45;4112.1500000
20230111;18:00;4111.9400000
20230111;18:15;4116.7300000
20230111;18:30;4112.0200000
20230111;18:45;4103.0600000
20230111;19:00;4109.9900000
20230112;7:15;4117.7900000
20230112;7:30;4109.9100000
20230112;7:45;4115.6900000
20230112;8:00;4091.0000000
20230112;8:15;4087.0000000
20230112;8:30;4088.9600000
20230112;8:45;4088.9100000
20230112;9:00;4082.0100000
20230112;9:15;4083.9400000
20230112;9:30;4095.0000000
20230112;9:45;4089.9900000
20230112;10:00;4081.0000000
20230112;10:15;4084.9900000
20230112;10:30;4068.5000000
20230112;10:45;4060.0000000
20230112;11:00;4059.8700000
20230112;11:15;4054.0100000
20230112;11:30;4052.0000000
20230112;11:45;4045.0000000
20230112;12:00;4040.0000000
20230112;12:15;4046.0400000
20230112;12:30;4047.5400000
20230112;12:45;4053.9500000
20230112;13:00;4054.9900000
20230112;13:15;4052.1100000
20230112;13:30;4058.9400000
20230112;13:45;4055.1200000
20230112;14:00;4061.9000000
20230112;14:15;4061.1200000
20230112;14:30;4062.6900000
20230112;14:45;4061.9900000
20230112;15:00;4062.4700000
20230112;15:15;4060.1300000
20230112;15:30;4063.2000000
20230112;15:45;4066.0100000
20230112;16:00;4060.0000000
20230112;16:15;4060.9900000
20230112;16:30;4064.9600000
20230112;16:45;4064.0100000
20230112;17:00;4066.2400000
20230112;17:15;4060.0100000
20230112;17:30;4067.0000000
20230112;17:45;4063.7900000
20230112;18:00;4059.9900000
20230112;18:15;4068.0000000
20230112;18:30;4068.4800000
20230112;18:45;4068.4800000
20230112;19:00;4068.4900000
20230113;7:15;4087.8800000
20230113;7:30;4080.0000000
20230113;7:45;4086.9900000
20230113;8:00;4075.4500000
20230113;8:15;4071.0100000
20230113;8:30;4074.9800000
20230113;8:45;4074.9900000
20230113;9:00;4070.2500000
20230113;9:15;4069.9700000
20230113;9:30;4069.0000000
20230113;9:45;4064.0100000
20230113;10:00;4063.2800000
20230113;10:15;4074.9700000
20230113;10:30;4070.3600000
20230113;10:45;4059.8600000
20230113;11:00;4059.9700000
20230113;11:15;4055.0100000
20230113;11:30;4055.0000000
20230113;11:45;4055.9900000
20230113;12:00;4057.1800000
20230113;12:15;4064.8600000
20230113;12:30;4059.0000000
20230113;12:45;4063.9900000
20230113;13:00;4064.8900000
20230113;13:15;4063.2500000
20230113;13:30;4063.9900000
20230113;13:45;4063.9300000
20230113;14:00;4064.2200000
20230113;14:15;4065.8300000
20230113;14:30;4110.0000000
20230113;14:45;4100.0000000
20230113;15:00;4099.9900000
20230113;15:15;4100.1500000
20230113;15:30;4104.7400000
20230113;15:45;4102.9900000
20230113;16:00;4093.0000000
20230113;16:15;4114.9000000
20230113;16:30;4120.0000000
20230113;16:45;4124.9900000
20230113;17:00;4134.9800000
20230113;17:15;4135.8600000
20230113;17:30;4135.0000000
20230113;17:45;4134.0000000
20230113;18:00;4131.0100000
20230113;18:15;4134.9700000
20230113;18:30;4134.9500000
20230113;18:45;4134.6700000
20230113;19:00;4120.0000000
20230116;7:15;4136.0700000
20230116;7:30;4145.0000000
20230116;7:45;4144.9700000
20230116;8:00;4143.9900000
20230116;8:15;4144.0000000
20230116;8:30;4143.0000000
20230116;8:45;4134.0300000
20230116;9:00;4134.0200000
20230116;9:15;4156.2800000
20230116;9:30;4148.9900000
20230116;9:45;4145.0000000
20230116;10:00;4130.0200000
20230116;10:15;4120.0000000
20230116;10:30;4125.4300000
20230116;10:45;4127.9700000
20230116;11:00;4127.9700000
20230116;11:15;4127.0100000
20230116;11:30;4129.9900000
20230116;11:45;4136.0000000
20230116;12:00;4130.8500000
20230116;12:15;4139.9900000
20230116;12:30;4140.0100000
20230116;12:45;4146.9900000
20230116;13:00;4154.8900000
20230116;13:15;4154.1100000
20230116;13:30;4139.2100000
20230116;13:45;4140.3300000
20230116;14:00;4140.2000000
20230116;14:15;4159.0000000
20230116;14:30;4160.0000000
20230116;14:45;4162.0000000
20230116;15:00;4161.9900000
20230116;15:15;4155.0000000
20230116;15:30;4161.9600000
20230116;15:45;4157.1500000
20230116;16:00;4160.9900000
20230116;16:15;4162.0000000
20230116;16:30;4166.8000000
20230116;16:45;4164.2600000
20230116;17:00;4163.6500000
20230116;17:15;4164.2600000
