<DATE>;<TIME>;<CLOSE>
20230109;7:15;8.7988000
20230109;7:30;8.7900000
20230109;7:45;8.8332000
20230109;8:00;8.8400000
20230109;8:15;8.8500000
20230109;8:30;8.8500000
20230109;8:45;8.8380000
20230109;9:00;8.8023000
20230109;9:15;8.8159000
20230109;9:30;8.7990000
20230109;9:45;8.7851000
20230109;10:00;8.7700000
20230109;10:15;8.7399000
20230109;10:30;8.7231000
20230109;10:45;8.7301000
20230109;11:00;8.7272000
20230109;11:15;8.7298000
20230109;11:30;8.7302000
20230109;11:45;8.7467000
20230109;12:00;8.7453000
20230109;12:15;8.7469000
20230109;12:30;8.7120000
20230109;12:45;8.6501000
20230109;13:00;8.6510000
20230109;13:15;8.6862000
20230109;13:30;8.6797000
20230109;13:45;8.6885000
20230109;14:00;8.6875000
20230109;14:15;8.6874000
20230109;14:30;8.6880000
20230109;14:45;8.6880000
20230109;15:00;8.6879000
20230109;15:15;8.6846000
20230109;15:30;8.6838000
20230109;15:45;8.6874000
20230109;16:00;8.6665000
20230109;16:15;8.6670000
20230109;16:30;8.6766000
20230109;16:45;8.6750000
20230109;17:00;8.6794000
20230109;17:15;8.6799000
20230109;17:30;8.6882000
20230109;17:45;8.6650000
20230109;18:00;8.6646000
20230109;18:15;8.6605000
20230109;18:30;8.6500000
20230109;18:45;8.6538000
20230109;19:00;8.6598000
20230110;7:15;8.6899000
20230110;7:30;8.6899000
20230110;7:45;8.6899000
20230110;8:00;8.7298000
20230110;8:15;8.7293000
20230110;8:30;8.7300000
20230110;8:45;8.7007000
20230110;9:00;8.6999000
20230110;9:15;8.6614000
20230110;9:30;8.6696000
20230110;9:45;8.6969000
20230110;10:00;8.6600000
20230110;10:15;8.6600000
20230110;10:30;8.6701000
20230110;10:45;8.6901000
20230110;11:00;8.6978000
20230110;11:15;8.6960000
20230110;11:30;8.7367000
20230110;11:45;8.7860000
20230110;12:00;8.8015000
20230110;12:15;8.8028000
20230110;12:30;8.8052000
20230110;12:45;8.8048000
20230110;13:00;8.7600000
20230110;13:15;8.7571000
20230110;13:30;8.7340000
20230110;13:45;8.7599000
20230110;14:00;8.7472000
20230110;14:15;8.7655000
20230110;14:30;8.7780000
20230110;14:45;8.7800000
20230110;15:00;8.7783000
20230110;15:15;8.7602000
20230110;15:30;8.7601000
20230110;15:45;8.7698000
20230110;16:00;8.7548000
20230110;16:15;8.7583000
20230110;16:30;8.7580000
20230110;16:45;8.7736000
20230110;17:00;8.7591000
20230110;17:15;8.7766000
20230110;17:30;8.7786000
20230110;17:45;8.7760000
20230110;18:00;8.7900000
20230110;18:15;8.7890000
20230110;18:30;8.7929000
20230110;18:45;8.7920000
20230110;19:00;8.7920000
20230111;7:15;8.8100000
