<DATE>;<TIME>;<CLOSE>
20230109;7:15;16.1775000
20230109;7:30;16.2975000
20230109;7:45;16.2825000
20230109;8:00;16.2900000
20230109;8:15;16.0275000
20230109;8:30;15.9025000
20230109;8:45;15.9000000
20230109;9:00;15.8025000
20230109;9:15;15.8125000
20230109;9:30;15.6500000
20230109;9:45;15.6000000
20230109;10:00;15.6750000
20230109;10:15;15.6975000
20230109;10:30;15.6675000
20230109;10:45;15.6800000
20230109;11:00;15.7125000
20230109;11:15;15.6025000
20230109;11:30;15.5300000
20230109;11:45;15.5775000
20230109;12:00;15.5200000
20230109;12:15;15.3775000
20230109;12:30;15.2700000
20230109;12:45;15.2475000
20230109;13:00;15.2925000
20230109;13:15;15.2850000
20230109;13:30;15.3025000
20230109;13:45;15.2100000
20230109;14:00;15.1875000
20230109;14:15;15.2900000
20230109;14:30;15.3100000
20230109;14:45;15.3200000
20230109;15:00;15.2800000
20230109;15:15;15.2625000
20230109;15:30;15.2675000
20230109;15:45;15.2125000
20230109;16:00;15.2050000
20230109;16:15;15.1800000
20230109;16:30;15.1800000
20230109;16:45;15.2250000
20230109;17:00;15.2600000
20230109;17:15;15.2650000
20230109;17:30;15.2675000
20230109;17:45;15.2575000
20230109;18:00;15.1825000
20230109;18:15;15.1950000
20230109;18:30;15.1650000
20230109;18:45;15.2475000
20230109;19:00;15.2400000
20230110;7:15;15.2250000
20230110;7:30;15.1900000
20230110;7:45;15.1900000
20230110;8:00;15.2050000
20230110;8:15;15.2050000
20230110;8:30;15.2000000
20230110;8:45;15.1950000
20230110;9:00;15.1800000
20230110;9:15;15.1775000
20230110;9:30;15.1775000
20230110;9:45;15.1100000
20230110;10:00;15.0550000
20230110;10:15;15.1225000
20230110;10:30;15.1250000
20230110;10:45;15.1850000
20230110;11:00;15.1400000
20230110;11:15;15.1250000
20230110;11:30;15.1250000
20230110;11:45;15.1175000
20230110;12:00;15.1025000
20230110;12:15;15.1125000
20230110;12:30;15.0875000
20230110;12:45;15.1000000
20230110;13:00;15.0900000
20230110;13:15;15.0925000
20230110;13:30;15.0900000
20230110;13:45;15.0975000
20230110;14:00;15.0900000
20230110;14:15;15.1450000
20230110;14:30;15.1475000
20230110;14:45;15.2000000
20230110;15:00;15.1950000
20230110;15:15;15.1975000
20230110;15:30;15.1800000
20230110;15:45;15.1800000
20230110;16:00;15.2200000
20230110;16:15;15.2225000
20230110;16:30;15.2100000
20230110;16:45;15.2150000
20230110;17:00;15.2175000
20230110;17:15;15.2150000
20230110;17:30;15.2000000
20230110;17:45;15.2250000
20230110;18:00;15.2225000
20230110;18:15;15.2125000
20230110;18:30;15.2100000
20230110;18:45;15.2200000
20230110;19:00;15.2175000
20230111;7:15;15.1925000
20230111;7:30;15.2025000
20230111;7:45;15.2050000
20230111;8:00;15.2175000
20230111;8:15;15.1850000
20230111;8:30;15.2050000
20230111;8:45;15.1850000
20230111;9:00;15.1550000
20230111;9:15;15.1275000
20230111;9:30;15.1275000
20230111;9:45;15.1325000
20230111;10:00;15.0925000
20230111;10:15;15.1475000
20230111;10:30;15.1050000
20230111;10:45;15.0925000
20230111;11:00;15.0825000
20230111;11:15;15.1300000
20230111;11:30;15.0800000
20230111;11:45;15.0725000
20230111;12:00;15.0725000
20230111;12:15;15.0725000
20230111;12:30;14.8600000
20230111;12:45;14.9000000
20230111;13:00;14.9375000
20230111;13:15;14.9375000
20230111;13:30;14.9300000
20230111;13:45;14.9200000
20230111;14:00;14.9075000
20230111;14:15;14.8950000
20230111;14:30;14.9200000
20230111;14:45;14.9125000
20230111;15:00;14.9025000
20230111;15:15;14.9125000
20230111;15:30;14.9050000
20230111;15:45;14.9000000
20230111;16:00;14.9075000
20230111;16:15;14.8975000
20230111;16:30;14.9000000
20230111;16:45;14.9125000
20230111;17:00;14.8925000
20230111;17:15;14.9125000
20230111;17:30;14.9050000
20230111;17:45;14.8950000
20230111;18:00;14.8850000
20230111;18:15;14.8850000
20230111;18:30;14.9000000
20230111;18:45;14.9075000
20230111;19:00;14.9075000
20230112;7:15;14.8000000
20230112;7:30;14.8075000
20230112;7:45;14.8025000
20230112;8:00;14.7825000
20230112;8:15;14.8100000
20230112;8:30;14.7800000
20230112;8:45;14.7800000
20230112;9:00;14.7775000
20230112;9:15;14.7550000
20230112;9:30;14.7425000
20230112;9:45;14.7450000
20230112;10:00;14.7250000
20230112;10:15;14.7275000
20230112;10:30;14.6825000
20230112;10:45;14.6525000
20230112;11:00;14.6500000
20230112;11:15;14.6625000
20230112;11:30;14.6100000
20230112;11:45;14.6275000
20230112;12:00;14.6175000
20230112;12:15;14.6475000
20230112;12:30;14.6500000
20230112;12:45;14.6625000
20230112;13:00;14.6450000
20230112;13:15;14.6500000
20230112;13:30;14.6475000
20230112;13:45;14.6500000
20230112;14:00;14.6500000
20230112;14:15;14.6400000
20230112;14:30;14.6500000
20230112;14:45;14.6525000
20230112;15:00;14.7000000
20230112;15:15;14.6750000
20230112;15:30;14.6800000
20230112;15:45;14.6850000
20230112;16:00;14.6825000
20230112;16:15;14.6850000
20230112;16:30;14.7050000
20230112;16:45;14.6900000
20230112;17:00;14.6775000
20230112;17:15;14.6900000
20230112;17:30;14.6900000
20230112;17:45;14.6900000
20230112;18:00;14.6850000
20230112;18:15;14.6800000
20230112;18:30;14.6800000
20230112;18:45;14.6900000
20230112;19:00;14.6875000
20230113;7:15;14.7650000
20230113;7:30;14.7425000
20230113;7:45;14.6800000
20230113;8:00;14.6925000
20230113;8:15;14.6850000
20230113;8:30;14.7350000
20230113;8:45;14.6900000
20230113;9:00;14.7375000
20230113;9:15;14.7000000
20230113;9:30;14.6925000
20230113;9:45;14.6675000
20230113;10:00;14.6925000
20230113;10:15;14.6725000
20230113;10:30;14.6700000
20230113;10:45;14.6250000
20230113;11:00;14.6150000
20230113;11:15;14.6100000
20230113;11:30;14.5500000
20230113;11:45;14.5900000
20230113;12:00;14.6075000
20230113;12:15;14.5925000
20230113;12:30;14.6025000
20230113;12:45;14.6000000
20230113;13:00;14.5725000
20230113;13:15;14.5850000
20230113;13:30;14.5950000
20230113;13:45;14.6075000
20230113;14:00;14.6075000
20230113;14:15;14.6025000
20230113;14:30;14.6400000
20230113;14:45;14.6600000
20230113;15:00;14.7300000
20230113;15:15;14.7300000
20230113;15:30;14.7400000
20230113;15:45;14.7900000
20230113;16:00;14.7850000
20230113;16:15;14.8450000
20230113;16:30;14.8925000
20230113;16:45;14.8925000
20230113;17:00;14.8925000
20230113;17:15;14.8775000
20230113;17:30;14.9100000
20230113;17:45;14.8800000
20230113;18:00;14.8350000
20230113;18:15;14.8725000
20230113;18:30;14.8925000
20230113;18:45;14.9000000
20230113;19:00;14.9025000
20230116;7:15;14.9475000
20230116;7:30;14.9175000
20230116;7:45;14.9675000
20230116;8:00;14.9350000
20230116;8:15;14.9475000
20230116;8:30;14.9550000
20230116;8:45;14.9000000
20230116;9:00;14.9075000
20230116;9:15;14.8875000
20230116;9:30;14.8775000
20230116;9:45;14.9000000
20230116;10:00;14.8200000
20230116;10:15;14.7500000
20230116;10:30;14.7200000
20230116;10:45;14.7300000
20230116;11:00;14.7475000
20230116;11:15;14.7400000
20230116;11:30;14.7075000
20230116;11:45;14.7400000
20230116;12:00;14.7725000
20230116;12:15;14.7500000
20230116;12:30;14.7700000
20230116;12:45;14.7700000
20230116;13:00;14.7700000
20230116;13:15;14.7700000
20230116;13:30;14.7675000
20230116;13:45;14.7675000
20230116;14:00;14.7675000
20230116;14:15;14.7700000
20230116;14:30;14.7550000
20230116;14:45;14.7550000
20230116;15:00;14.7500000
20230116;15:15;14.7600000
20230116;15:30;14.7525000
20230116;15:45;14.7550000
20230116;16:00;14.7400000
20230116;16:15;14.7550000
20230116;16:30;14.7550000
20230116;16:45;14.7575000
20230116;17:00;14.7725000
20230116;17:15;14.7475000
20230116;17:30;14.7575000
20230116;17:45;14.7675000
20230116;18:00;14.7575000
20230116;18:15;14.7600000
20230116;18:30;14.7575000
20230116;18:45;14.7600000
20230116;19:00;14.7600000
20230117;7:15;14.7875000
20230117;7:30;14.8100000
20230117;7:45;14.8125000
20230117;8:00;14.6700000
20230117;8:15;14.7075000
20230117;8:30;14.7250000
20230117;8:45;14.7600000
20230117;9:00;14.7650000
20230117;9:15;14.7150000
20230117;9:30;14.7600000
20230117;9:45;14.7500000
20230117;10:00;14.7600000
20230117;10:15;14.8000000
20230117;10:30;14.8200000
20230117;10:45;14.8125000
20230117;11:00;14.8125000
20230117;11:15;14.8200000
20230117;11:30;14.8125000
20230117;11:45;14.8200000
20230117;12:00;14.7950000
20230117;12:15;14.8150000
20230117;12:30;14.8100000
20230117;12:45;14.8200000
20230117;13:00;14.8225000
20230117;13:15;14.8200000
20230117;13:30;14.8100000
20230117;13:45;14.8250000
20230117;14:00;14.8250000
20230117;14:15;14.8250000
20230117;14:30;14.8250000
20230117;14:45;14.8250000
20230117;15:00;14.8575000
20230117;15:15;14.8500000
20230117;15:30;14.8500000
20230117;15:45;14.8525000
20230117;16:00;14.9200000
20230117;16:15;14.8800000
20230117;16:30;14.8900000
20230117;16:45;14.8925000
20230117;17:00;14.9000000
20230117;17:15;14.8950000
20230117;17:30;14.8900000
20230117;17:45;14.8900000
20230117;18:00;14.8900000
20230117;18:15;14.8900000
20230117;18:30;14.9275000
20230117;18:45;14.9300000
20230117;19:00;14.9325000
20230118;7:15;14.9950000
20230118;7:30;15.0250000
20230118;7:45;14.9550000
20230118;8:00;14.9725000
20230118;8:15;15.0000000
20230118;8:30;14.9875000
20230118;8:45;14.9850000
20230118;9:00;14.9600000
20230118;9:15;14.9150000
20230118;9:30;14.9250000
20230118;9:45;14.9000000
20230118;10:00;14.9000000
20230118;10:15;14.8950000
20230118;10:30;14.9075000
20230118;10:45;14.8975000
20230118;11:00;14.9000000
20230118;11:15;14.8500000
20230118;11:30;14.8425000
20230118;11:45;14.8425000
20230118;12:00;14.8375000
20230118;12:15;14.8400000
20230118;12:30;14.8375000
20230118;12:45;14.8300000
20230118;13:00;14.8275000
20230118;13:15;14.8300000
20230118;13:30;14.8300000
20230118;13:45;14.8300000
20230118;14:00;14.8400000
20230118;14:15;14.8525000
20230118;14:30;14.8500000
20230118;14:45;14.8900000
20230118;15:00;14.8775000
20230118;15:15;14.8800000
20230118;15:30;14.8725000
20230118;15:45;14.9000000
20230118;16:00;14.9000000
20230118;16:15;14.8975000
20230118;16:30;14.8975000
20230118;16:45;14.9000000
20230118;17:00;14.8975000
20230118;17:15;14.8875000
20230118;17:30;14.8575000
20230118;17:45;14.8950000
20230118;18:00;14.8975000
20230118;18:15;14.9000000
20230118;18:30;14.8850000
20230118;18:45;14.8675000
20230118;19:00;14.8800000
20230119;7:15;14.9350000
20230119;7:30;14.9125000
20230119;7:45;14.9025000
20230119;8:00;14.9150000
20230119;8:15;14.9000000
20230119;8:30;14.9000000
20230119;8:45;14.9000000
20230119;9:00;14.8975000
20230119;9:15;14.9000000
20230119;9:30;14.8975000
20230119;9:45;14.8900000
20230119;10:00;14.8900000
20230119;10:15;14.8875000
20230119;10:30;14.8850000
20230119;10:45;14.8900000
20230119;11:00;14.8875000
20230119;11:15;14.8625000
20230119;11:30;14.8850000
20230119;11:45;14.8775000
20230119;12:00;14.8775000
20230119;12:15;14.8925000
20230119;12:30;14.9000000
20230119;12:45;14.8825000
20230119;13:00;14.8900000
20230119;13:15;14.8800000
20230119;13:30;14.8850000
20230119;13:45;14.8850000
20230119;14:00;14.8850000
20230119;14:15;14.8825000
20230119;14:30;14.8850000
20230119;14:45;14.8850000
20230119;15:00;14.8350000
20230119;15:15;14.8550000
20230119;15:30;14.8850000
20230119;15:45;14.8800000
20230119;16:00;14.8850000
20230119;16:15;14.8850000
20230119;16:30;14.8850000
20230119;16:45;14.9075000
20230119;17:00;14.9050000
20230119;17:15;14.9125000
20230119;17:30;14.8975000
20230119;17:45;14.9200000
20230119;18:00;14.9125000
20230119;18:15;14.9125000
20230119;18:30;14.9100000
20230119;18:45;14.9125000
20230119;19:00;14.9125000
20230120;7:15;14.9425000
20230120;7:30;14.8850000
20230120;7:45;14.8825000
20230120;8:00;14.9050000
20230120;8:15;14.8850000
20230120;8:30;14.8900000
20230120;8:45;14.8825000
20230120;9:00;14.8600000
20230120;9:15;14.8700000
20230120;9:30;14.8800000
20230120;9:45;14.8775000
20230120;10:00;14.8600000
20230120;10:15;14.8650000
20230120;10:30;14.8675000
20230120;10:45;14.8700000
20230120;11:00;14.8525000
20230120;11:15;14.8425000
20230120;11:30;14.8450000
20230120;11:45;14.8600000
20230120;12:00;14.8450000
20230120;12:15;14.8500000
20230120;12:30;14.8500000
20230120;12:45;14.8500000
20230120;13:00;14.8600000
20230120;13:15;14.8650000
20230120;13:30;14.8700000
20230120;13:45;14.8600000
20230120;14:00;14.8625000
20230120;14:15;14.8650000
20230120;14:30;14.8700000
20230120;14:45;14.8700000
20230120;15:00;14.8700000
20230120;15:15;14.8700000
20230120;15:30;14.9125000
20230120;15:45;14.9125000
20230120;16:00;14.9150000
20230120;16:15;14.9250000
20230120;16:30;14.9150000
20230120;16:45;14.9000000
20230120;17:00;14.9050000
20230120;17:15;14.8925000
20230120;17:30;14.9125000
20230120;17:45;14.8925000
20230120;18:00;14.9000000
20230120;18:15;14.8975000
20230120;18:30;14.9050000
20230120;18:45;14.9100000
20230120;19:00;14.8625000
20230123;7:15;14.8875000
20230123;7:30;14.8975000
20230123;7:45;14.9000000
20230123;8:00;14.8975000
20230123;8:15;14.8925000
20230123;8:30;14.8700000
20230123;8:45;14.9000000
20230123;9:00;14.9000000
20230123;9:15;14.8925000
20230123;9:30;14.8525000
20230123;9:45;14.8425000
20230123;10:00;14.8425000
20230123;10:15;14.8425000
20230123;10:30;14.8625000
20230123;10:45;14.8775000
20230123;11:00;14.8900000
20230123;11:15;14.8775000
20230123;11:30;14.8750000
20230123;11:45;14.8700000
20230123;12:00;14.8650000
20230123;12:15;14.8500000
20230123;12:30;14.8500000
20230123;12:45;14.8775000
20230123;13:00;14.8600000
20230123;13:15;14.8775000
20230123;13:30;14.8775000
20230123;13:45;14.8725000
20230123;14:00;14.8775000
20230123;14:15;14.8650000
20230123;14:30;14.8775000
20230123;14:45;14.8800000
20230123;15:00;14.8925000
20230123;15:15;14.9050000
20230123;15:30;14.9100000
20230123;15:45;14.9100000
20230123;16:00;14.9025000
20230123;16:15;14.8900000
20230123;16:30;14.8950000
20230123;16:45;14.8950000
20230123;17:00;14.9000000
20230123;17:15;14.8900000
20230123;17:30;14.9025000
20230123;17:45;14.8925000
20230123;18:00;14.8975000
20230123;18:15;14.9000000
20230123;18:30;14.9000000
20230123;18:45;14.9025000
20230123;19:00;14.9025000
20230124;7:15;14.8925000
20230124;7:30;14.8925000
20230124;8:00;14.9050000
20230124;8:30;14.8900000
20230124;8:45;14.9000000
20230124;9:00;14.9025000
20230124;9:15;14.9225000
20230124;9:30;14.9200000
20230124;9:45;14.9025000
20230124;10:00;14.8950000
20230124;10:15;14.8900000
20230124;10:30;14.8875000
20230124;10:45;14.8900000
20230124;11:00;14.8900000
20230124;11:15;14.8875000
20230124;11:30;14.8950000
20230124;11:45;14.8875000
20230124;12:00;14.8950000
20230124;12:15;14.9000000
20230124;12:30;14.9050000
20230124;12:45;14.9100000
20230124;13:00;14.9125000
20230124;13:15;14.9200000
20230124;13:30;14.8925000
20230124;13:45;14.9000000
20230124;14:00;14.8975000
20230124;14:15;14.9325000
20230124;14:30;14.9275000
20230124;14:45;14.9300000
20230124;15:00;14.9425000
20230124;15:15;14.9275000
20230124;15:30;14.9225000
20230124;15:45;14.9225000
20230124;16:00;14.9275000
20230124;16:15;14.9300000
20230124;16:30;14.9350000
20230124;16:45;14.9425000
20230124;17:00;14.9425000
20230124;17:15;14.9425000
20230124;17:30;14.9675000
20230124;17:45;15.0175000
20230124;18:00;15.0125000
20230124;18:15;15.0500000
20230124;18:30;15.0000000
20230124;18:45;15.0000000
20230124;19:00;14.9975000
20230125;7:15;15.0900000
20230125;7:30;15.0650000
20230125;7:45;15.0650000
20230125;8:00;14.9750000
20230125;8:15;14.9650000
20230125;8:30;14.9550000
20230125;8:45;14.9550000
20230125;9:00;14.9500000
20230125;9:15;14.9600000
20230125;9:30;14.9525000
20230125;9:45;14.9550000
20230125;10:00;14.9775000
20230125;10:15;14.9375000
20230125;10:30;14.9200000
20230125;10:45;14.9300000
20230125;11:00;14.9100000
20230125;11:15;14.9200000
20230125;11:30;14.9150000
20230125;11:45;14.9150000
20230125;12:00;14.9350000
20230125;12:15;14.9325000
20230125;12:30;14.9325000
20230125;12:45;14.9475000
20230125;13:00;14.9475000
20230125;13:15;14.9650000
20230125;13:30;14.9875000
20230125;13:45;14.9950000
20230125;14:00;15.0050000
20230125;14:15;14.9600000
20230125;14:30;15.0475000
20230125;14:45;15.0025000
20230125;15:00;15.0325000
20230125;15:15;14.9900000
20230125;15:30;14.9900000
20230125;15:45;15.0200000
20230125;16:00;15.0300000
20230125;16:15;15.0500000
20230125;16:30;15.0500000
20230125;16:45;15.0425000
20230125;17:00;15.0175000
20230125;17:15;15.0150000
20230125;17:30;15.0175000
20230125;17:45;15.0200000
20230125;18:00;15.0475000
20230125;18:15;15.0425000
20230125;18:30;15.0450000
20230125;18:45;15.0075000
20230125;19:00;15.0675000
20230126;7:15;15.0675000
20230126;7:30;14.9775000
20230126;7:45;15.0500000
20230126;8:00;15.1000000
20230126;8:15;15.0875000
20230126;8:30;15.0750000
20230126;8:45;15.0925000
20230126;9:00;15.0525000
20230126;9:15;15.0350000
20230126;9:30;15.0325000
20230126;9:45;15.0425000
20230126;10:00;15.0775000
20230126;10:15;15.0950000
20230126;10:30;15.0650000
20230126;10:45;15.0775000
20230126;11:00;15.0650000
20230126;11:15;15.0475000
20230126;11:30;15.0375000
20230126;11:45;14.9900000
20230126;12:00;14.9825000
20230126;12:15;14.9850000
20230126;12:30;14.9675000
20230126;12:45;14.9900000
20230126;13:00;14.9950000
20230126;13:15;14.9975000
20230126;13:30;14.9975000
20230126;13:45;15.0275000
20230126;14:00;15.0200000
20230126;14:15;15.0200000
20230126;14:30;15.0425000
20230126;14:45;15.0300000
20230126;15:00;14.9875000
20230126;15:15;15.0150000
20230126;15:30;15.0075000
20230126;15:45;15.0000000
20230126;16:00;15.0400000
20230126;16:15;15.0400000
20230126;16:30;15.0725000
20230126;16:45;15.0750000
20230126;17:00;15.0700000
20230126;17:15;15.0600000
20230126;17:30;15.0125000
20230126;17:45;15.0400000
20230126;18:00;15.0600000
20230126;18:15;15.0800000
20230126;18:30;15.0850000
20230126;18:45;15.1000000
20230126;19:00;15.1600000
20230127;7:15;15.1000000
20230127;7:30;15.0500000
20230127;7:45;15.0200000
20230127;8:00;15.0575000
20230127;8:15;15.0450000
20230127;8:30;15.0375000
20230127;8:45;15.0350000
20230127;9:00;15.0325000
20230127;9:15;15.0300000
20230127;9:30;15.0500000
20230127;9:45;15.0700000
20230127;10:00;15.0650000
20230127;10:15;15.0450000
20230127;10:30;15.0750000
20230127;10:45;15.0675000
20230127;11:00;15.0775000
20230127;11:15;15.0825000
20230127;11:30;15.0700000
20230127;11:45;15.0725000
20230127;12:00;15.0650000
20230127;12:15;15.0700000
20230127;12:30;15.0775000
20230127;12:45;15.0750000
20230127;13:00;15.0950000
20230127;13:15;15.1050000
20230127;13:30;15.0775000
20230127;13:45;15.0900000
20230127;14:00;15.0850000
20230127;14:15;15.0950000
20230127;14:30;15.1100000
20230127;14:45;15.1200000
20230127;15:00;15.1200000
20230127;15:15;15.1200000
20230127;15:30;15.1150000
20230127;15:45;15.1525000
20230127;16:00;15.1600000
20230127;16:15;15.1575000
20230127;16:30;15.1550000
20230127;16:45;15.1575000
20230127;17:00;15.1500000
20230127;17:15;15.1500000
20230127;17:30;15.1300000
20230127;17:45;15.1375000
20230127;18:00;15.1425000
20230127;18:15;15.1350000
20230127;18:30;15.1500000
20230127;18:45;15.1500000
20230127;19:00;15.2300000
20230130;7:15;15.2475000
20230130;7:30;15.2000000
20230130;7:45;15.1375000
20230130;8:00;15.1025000
20230130;8:15;15.1200000
20230130;8:30;15.1325000
20230130;8:45;15.1200000
20230130;9:00;15.1600000
20230130;9:15;15.1625000
20230130;9:30;15.1625000
20230130;9:45;15.1550000
20230130;10:00;15.1425000
20230130;10:15;15.1500000
20230130;10:30;15.1450000
