<DATE>;<TIME>;<CLOSE>
20230109;7:15;59.1300000
20230109;7:30;59.1200000
20230109;7:45;59.1500000
20230109;8:00;59.1400000
20230109;8:15;58.9300000
20230109;8:30;59.1300000
20230109;8:45;59.1400000
20230109;9:00;59.1100000
20230109;9:15;59.0900000
20230109;9:30;58.9100000
20230109;9:45;58.9600000
20230109;10:00;59.1400000
20230109;10:15;58.7800000
20230109;10:30;58.7200000
20230109;10:45;59.5000000
20230109;11:00;59.8400000
20230109;11:15;59.5500000
20230109;11:30;59.0000000
20230109;11:45;59.2100000
20230109;12:00;59.3000000
20230109;12:15;59.0300000
20230109;12:30;59.2700000
20230109;12:45;58.6600000
20230109;13:00;58.6800000
20230109;13:15;58.7800000
20230109;13:30;58.8700000
20230109;13:45;59.2700000
20230109;14:00;59.0100000
20230109;14:15;58.7300000
20230109;14:30;58.6300000
20230109;14:45;58.6000000
20230109;15:00;58.4000000
20230109;15:15;58.5100000
20230109;15:30;58.7900000
20230109;15:45;58.7700000
20230109;16:00;58.5800000
20230109;16:15;58.5700000
20230109;16:30;58.5100000
20230109;16:45;58.1300000
20230109;17:00;58.5900000
20230109;17:15;58.5600000
20230109;17:30;58.5200000
20230109;17:45;58.4300000
20230109;18:00;58.5200000
20230109;18:15;58.3800000
20230109;18:30;58.1300000
20230109;18:45;58.1000000
20230109;19:00;58.2700000
20230110;7:15;57.7000000
20230110;7:30;58.1400000
20230110;7:45;58.0900000
20230110;8:00;57.4900000
20230110;8:15;57.8900000
20230110;8:30;57.5300000
20230110;8:45;57.5500000
20230110;9:00;57.8800000
20230110;9:15;57.5000000
20230110;9:30;57.6400000
20230110;9:45;57.7600000
20230110;10:00;57.6200000
20230110;10:15;57.6500000
20230110;10:30;57.7500000
20230110;10:45;57.8000000
20230110;11:00;57.8000000
20230110;11:15;57.6000000
20230110;11:30;57.6900000
20230110;11:45;57.5400000
20230110;12:00;57.7700000
20230110;12:15;57.9700000
20230110;12:30;57.9700000
20230110;12:45;57.8400000
20230110;13:00;57.8700000
20230110;13:15;57.8600000
20230110;13:30;57.8900000
20230110;13:45;57.9700000
20230110;14:00;57.9900000
20230110;14:15;58.1200000
20230110;14:30;58.6800000
20230110;14:45;58.6000000
20230110;15:00;58.1300000
20230110;15:15;58.3000000
20230110;15:30;58.1700000
20230110;15:45;58.1000000
20230110;16:00;58.4900000
20230110;16:15;58.3400000
20230110;16:30;58.4500000
20230110;16:45;58.5800000
20230110;17:00;58.3900000
20230110;17:15;58.3200000
20230110;17:30;58.3800000
20230110;17:45;58.3000000
20230110;18:00;58.3000000
20230110;18:15;58.3500000
20230110;18:30;58.2900000
20230110;18:45;58.2900000
20230110;19:00;58.2900000
20230111;7:15;58.1500000
20230111;7:30;58.3700000
20230111;7:45;58.3800000
20230111;8:00;58.3900000
20230111;8:15;58.5000000
20230111;8:30;58.7000000
20230111;8:45;58.7000000
20230111;9:00;58.7200000
20230111;9:15;58.7700000
20230111;9:30;58.8200000
20230111;9:45;58.8300000
20230111;10:00;58.8000000
20230111;10:15;58.8000000
20230111;10:30;58.5000000
20230111;10:45;58.7500000
20230111;11:00;58.6500000
20230111;11:15;58.6800000
20230111;11:30;58.7000000
20230111;11:45;58.7500000
20230111;12:00;58.5700000
20230111;12:15;58.3200000
20230111;12:30;58.2200000
20230111;12:45;58.3800000
20230111;13:00;58.3500000
20230111;13:15;58.4400000
20230111;13:30;58.5000000
20230111;13:45;57.9200000
20230111;14:00;57.6500000
20230111;14:15;57.7900000
20230111;14:30;57.6600000
20230111;14:45;58.3900000
20230111;15:00;58.7300000
20230111;15:15;58.6100000
20230111;15:30;58.4800000
20230111;15:45;58.6500000
20230111;16:00;58.5800000
20230111;16:15;58.5000000
20230111;16:30;58.5100000
20230111;16:45;58.3300000
20230111;17:00;58.4500000
20230111;17:15;58.4800000
20230111;17:30;58.4200000
20230111;17:45;58.4900000
20230111;18:00;58.4800000
20230111;18:15;58.4000000
20230111;18:30;58.3200000
20230111;18:45;58.3500000
20230111;19:00;58.4000000
20230112;7:15;58.3100000
20230112;7:30;58.1300000
20230112;7:45;58.3100000
20230112;8:00;58.3200000
20230112;8:15;58.1600000
20230112;8:30;58.3600000
20230112;8:45;58.5000000
20230112;9:00;58.5000000
20230112;9:15;58.2600000
20230112;9:30;58.2600000
20230112;9:45;58.3900000
20230112;10:00;58.2700000
20230112;10:15;58.3200000
20230112;10:30;58.1500000
20230112;10:45;58.3300000
20230112;11:00;58.2800000
20230112;11:15;58.1600000
20230112;11:30;58.1300000
20230112;11:45;58.0300000
20230112;12:00;57.9000000
20230112;12:15;57.9800000
20230112;12:30;57.8000000
20230112;12:45;57.7000000
20230112;13:00;57.6900000
20230112;13:15;57.7000000
20230112;13:30;57.7000000
20230112;13:45;57.6900000
20230112;14:00;57.7900000
20230112;14:15;58.3000000
20230112;14:30;58.2700000
20230112;14:45;58.2000000
20230112;15:00;58.2100000
20230112;15:15;58.1900000
20230112;15:30;58.2700000
20230112;15:45;58.3100000
20230112;16:00;58.3300000
20230112;16:15;58.3600000
20230112;16:30;58.4200000
20230112;16:45;57.8900000
20230112;17:00;57.8800000
20230112;17:15;57.8400000
20230112;17:30;57.8000000
20230112;17:45;57.7700000
20230112;18:00;57.8100000
20230112;18:15;57.8000000
20230112;18:30;57.8700000
20230112;18:45;58.0000000
20230112;19:00;57.9000000
20230113;7:15;57.9900000
20230113;7:30;58.1000000
20230113;7:45;58.0600000
20230113;8:00;58.0100000
20230113;8:15;58.0800000
20230113;8:30;58.0700000
20230113;8:45;58.0600000
20230113;9:15;57.8600000
20230113;9:30;57.7900000
20230113;9:45;57.7000000
20230113;10:00;57.6500000
20230113;10:15;57.6200000
20230113;10:30;57.6800000
20230113;10:45;57.6900000
20230113;11:00;57.6900000
20230113;11:15;57.6700000
20230113;11:30;57.6900000
20230113;11:45;57.6100000
20230113;12:00;57.6500000
20230113;12:15;57.7000000
20230113;12:30;57.7600000
20230113;12:45;58.0000000
20230113;13:00;58.1700000
20230113;13:15;57.9100000
20230113;13:30;57.8200000
20230113;13:45;58.0100000
20230113;14:00;58.1000000
20230113;14:15;57.9600000
20230113;14:30;57.9900000
20230113;14:45;57.9700000
20230113;15:00;57.9600000
20230113;15:15;57.8700000
20230113;15:30;57.8000000
20230113;15:45;57.9800000
20230113;16:00;57.8400000
20230113;16:15;57.8000000
20230113;16:30;57.9900000
20230113;16:45;57.8300000
20230113;17:00;58.0600000
20230113;17:15;58.1200000
20230113;17:30;57.8600000
20230113;17:45;58.1200000
20230113;18:00;57.9000000
20230113;18:15;57.9400000
20230113;18:30;58.0900000
20230113;18:45;58.1000000
20230113;19:00;58.1000000
20230116;7:15;58.4800000
20230116;7:30;58.3300000
20230116;7:45;58.4100000
20230116;8:00;58.4500000
20230116;8:15;58.4700000
20230116;8:30;58.5000000
20230116;8:45;58.5700000
20230116;9:00;58.5900000
20230116;9:15;58.5200000
20230116;9:30;58.6000000
20230116;9:45;58.6400000
20230116;10:00;58.6400000
20230116;10:15;58.5300000
20230116;10:30;58.5000000
20230116;10:45;58.4400000
20230116;11:00;58.5900000
20230116;11:15;58.3100000
20230116;11:30;58.3200000
20230116;11:45;58.3900000
20230116;12:00;58.4000000
20230116;12:15;58.3100000
20230116;12:30;58.3900000
20230116;12:45;58.3900000
20230116;13:00;58.4400000
20230116;13:15;58.4400000
20230116;13:30;58.4400000
20230116;13:45;58.4300000
20230116;14:00;58.4500000
20230116;14:15;58.4900000
20230116;14:30;58.5600000
20230116;14:45;58.6600000
20230116;15:00;58.5800000
20230116;15:15;58.3900000
20230116;15:30;58.4300000
20230116;15:45;58.3300000
20230116;16:00;58.4100000
20230116;16:15;58.4800000
20230116;16:30;58.4900000
20230116;16:45;58.4500000
20230116;17:00;58.4100000
20230116;17:15;58.5800000
20230116;17:30;58.4700000
20230116;17:45;58.4700000
20230116;18:00;58.5500000
20230116;18:15;58.4000000
20230116;18:30;58.5000000
20230116;18:45;58.5000000
20230116;19:00;58.5000000
20230117;7:15;58.6500000
20230117;7:30;58.4100000
20230117;7:45;58.3100000
20230117;8:00;58.7000000
20230117;8:15;58.5100000
20230117;8:30;58.5200000
20230117;8:45;58.5300000
20230117;9:00;58.4100000
20230117;9:30;58.3900000
20230117;9:45;58.3500000
20230117;10:00;58.3500000
20230117;10:15;58.4100000
20230117;10:30;58.3800000
20230117;10:45;58.3200000
20230117;11:00;58.3300000
20230117;11:15;58.4700000
20230117;11:30;58.4300000
20230117;11:45;58.3300000
20230117;12:00;58.3200000
20230117;12:15;58.3000000
20230117;12:30;58.3000000
20230117;12:45;58.2600000
20230117;13:00;58.3800000
20230117;13:15;58.2400000
20230117;13:30;58.2500000
20230117;13:45;58.0700000
20230117;14:00;58.0800000
20230117;14:15;58.2400000
20230117;14:30;58.2800000
20230117;14:45;58.1700000
20230117;15:00;58.1600000
20230117;15:15;58.2700000
20230117;15:30;58.3100000
20230117;15:45;58.6600000
20230117;16:00;58.6900000
20230117;16:15;58.6100000
20230117;16:30;58.6200000
20230117;16:45;58.7800000
20230117;17:00;58.3400000
20230117;17:15;58.4900000
20230117;17:30;58.4300000
20230117;17:45;58.5000000
20230117;18:00;58.5900000
20230117;18:15;58.6100000
20230117;18:30;58.6800000
20230117;18:45;58.6100000
20230117;19:00;58.6100000
20230118;7:15;58.8900000
20230118;7:30;58.5800000
20230118;7:45;58.6500000
20230118;8:00;58.7600000
20230118;8:15;58.7400000
20230118;8:30;58.7500000
20230118;8:45;58.7900000
20230118;9:00;58.8200000
20230118;9:15;58.7800000
20230118;9:30;58.7000000
20230118;9:45;58.7000000
20230118;10:00;58.8500000
20230118;10:15;58.7900000
20230118;10:30;58.7100000
20230118;10:45;58.7200000
20230118;11:00;58.7200000
20230118;11:15;58.8500000
20230118;11:30;58.7800000
20230118;11:45;58.8600000
20230118;12:00;58.7800000
20230118;12:15;58.8400000
20230118;12:30;58.8700000
20230118;12:45;58.7100000
20230118;13:00;58.9900000
20230118;13:15;59.1900000
20230118;13:30;58.7700000
20230118;13:45;58.7800000
20230118;14:00;58.9100000
20230118;14:15;59.0000000
