<DATE>;<TIME>;<CLOSE>
20230109;7:15;3.9400000
20230109;7:45;3.9400000
20230109;8:00;3.9750000
20230109;8:15;3.9500000
20230109;8:30;3.9690000
20230109;8:45;3.9510000
20230109;9:00;3.9690000
20230109;9:15;3.9650000
20230109;9:30;3.9610000
20230109;9:45;3.9640000
20230109;10:00;3.9530000
20230109;10:15;3.9530000
20230109;10:30;3.9640000
20230109;10:45;3.9390000
20230109;11:00;3.9290000
20230109;11:15;3.9040000
20230109;11:30;3.9050000
20230109;11:45;3.9150000
20230109;12:00;3.9130000
20230109;12:15;3.9000000
20230109;12:30;3.8800000
20230109;12:45;3.9030000
20230109;13:00;3.8940000
20230109;13:15;3.8880000
20230109;13:30;3.8550000
20230109;13:45;3.8700000
20230109;14:00;3.8770000
20230109;14:15;3.8700000
20230109;14:30;3.8700000
20230109;14:45;3.8630000
20230109;15:00;3.8560000
20230109;15:15;3.8540000
20230109;15:30;3.8540000
20230109;15:45;3.8980000
20230109;16:15;3.8590000
20230109;16:30;3.8770000
20230109;16:45;3.8550000
20230109;17:00;3.8760000
20230109;17:15;3.8900000
20230109;17:30;3.8890000
20230109;17:45;3.8800000
20230109;18:00;3.8870000
20230109;18:15;3.8980000
20230109;18:30;3.7300000
20230109;18:45;3.7530000
20230109;19:00;3.7350000
20230110;7:15;3.7840000
20230110;7:30;3.7830000
20230110;7:45;3.7500000
20230110;8:30;3.7830000
20230110;8:45;3.7840000
20230110;9:15;3.7600000
20230110;9:30;3.7800000
20230110;9:45;3.7990000
20230110;10:00;3.7500000
20230110;10:15;3.7400000
20230110;10:30;3.7700000
20230110;10:45;3.7600000
20230110;11:00;3.7600000
20230110;11:15;3.7890000
20230110;11:30;3.7900000
20230110;11:45;3.7700000
20230110;12:00;3.7690000
20230110;12:15;3.7700000
20230110;12:30;3.7700000
20230110;12:45;3.7700000
20230110;13:00;3.7700000
20230110;13:15;3.7700000
20230110;13:30;3.7700000
20230110;13:45;3.7700000
20230110;14:00;3.7670000
20230110;14:15;3.7500000
20230110;14:30;3.7690000
20230110;14:45;3.7680000
20230110;15:00;3.7680000
20230110;15:15;3.7690000
20230110;15:30;3.7690000
20230110;15:45;3.7490000
20230110;16:00;3.7360000
20230110;16:15;3.7240000
20230110;16:30;3.7280000
20230110;16:45;3.7270000
20230110;17:00;3.7280000
20230110;17:15;3.7100000
20230110;17:30;3.7290000
20230110;17:45;3.7300000
20230110;18:00;3.7280000
20230110;18:15;3.7250000
20230110;18:30;3.7210000
20230110;18:45;3.7180000
20230110;19:00;3.7290000
