<DATE>;<TIME>;<CLOSE>
20230201;7:15;70.1475000
20230201;7:30;70.1725000
20230201;7:45;70.1775000
20230201;8:00;70.1425000
20230201;8:15;70.1975000
20230201;8:30;70.2100000
20230201;8:45;70.2475000
20230201;9:00;70.2500000
20230201;9:15;70.1075000
20230201;9:30;70.1575000
20230201;9:45;70.2875000
20230201;10:00;70.3150000
20230201;10:15;70.3725000
20230201;10:30;70.1900000
20230201;10:45;70.0850000
20230201;11:00;70.2275000
20230201;11:15;70.1400000
20230201;11:30;70.0900000
20230201;11:45;70.0600000
20230201;12:00;70.1225000
20230201;12:15;70.1650000
20230201;12:30;70.2500000
20230201;12:45;70.1350000
20230201;13:00;70.1300000
20230201;13:15;70.1550000
20230201;13:30;70.1400000
20230201;13:45;70.1300000
20230201;14:00;70.0825000
20230201;14:15;70.0275000
20230201;14:30;70.0050000
20230201;14:45;70.0450000
20230201;15:00;70.0850000
20230201;15:15;70.1300000
20230201;15:30;70.0425000
20230201;15:45;70.0425000
20230201;16:00;70.0700000
20230201;16:15;70.1275000
20230201;16:30;70.0850000
20230201;16:45;70.0925000
20230201;17:00;70.1500000
20230201;17:15;70.1375000
20230201;17:30;70.1750000
20230201;17:45;70.1675000
20230201;18:00;70.2100000
20230201;18:15;70.2725000
20230201;18:30;70.2850000
20230201;18:45;70.1450000
20230201;19:00;70.1975000
20230202;7:15;70.1625000
20230202;7:30;70.1650000
20230202;7:45;70.1550000
20230202;8:00;70.0525000
20230202;8:15;70.0400000
20230202;8:30;70.0075000
20230202;8:45;70.0200000
20230202;9:00;70.0850000
20230202;9:15;70.0525000
20230202;9:30;70.0750000
20230202;9:45;70.0175000
20230202;10:00;69.8350000
20230202;10:15;69.9475000
20230202;10:30;70.0750000
20230202;10:45;70.0975000
20230202;11:00;70.0700000
20230202;11:15;69.9650000
20230202;11:30;69.9850000
20230202;11:45;70.0600000
20230202;12:00;70.0500000
20230202;12:15;70.0250000
20230202;12:30;70.1125000
20230202;12:45;70.0950000
20230202;13:00;70.0275000
20230202;13:15;70.0000000
20230202;13:30;70.0750000
20230202;13:45;70.0650000
20230202;14:00;70.1375000
20230202;14:15;70.0575000
20230202;14:30;70.0425000
20230202;14:45;69.9950000
20230202;15:00;70.0675000
20230202;15:15;70.0750000
20230202;15:30;70.0400000
20230202;15:45;70.0350000
20230202;16:00;70.0100000
20230202;16:15;70.0225000
20230202;16:30;70.0925000
20230202;16:45;70.1500000
20230202;17:00;70.2500000
20230202;17:15;70.2975000
20230202;17:30;70.2925000
20230202;17:45;70.3250000
